Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    IF_USB_CONN_N, Signal Layers Only, 0mm
    IF_USB_CONN_P, Signal Layers Only, 0mm
    JTAG_EN, Signal Layers Only, 0mm
    JTAG_TCK, Signal Layers Only, 0mm
    JTAG_TDI, Signal Layers Only, 0mm
    JTAG_TDO, Signal Layers Only, 0mm
    JTAG_TMS, Signal Layers Only, 0mm
    LPM, Signal Layers Only, 13.7389mm
    LVDS_SPI_RX_CLK, Signal Layers Only, 0mm
    LVDS_SPI_RX_CSN, Signal Layers Only, 0mm
    LVDS_SPI_RX_MISO, Signal Layers Only, 0mm
    LVDS_SPI_RX_MOSI, Signal Layers Only, 3.4946mm
    LVDS_SPI_TX_CLK, Signal Layers Only, 0mm
    LVDS_SPI_TX_CSN, Signal Layers Only, 0mm
    LVDS_SPI_TX_MISO, Signal Layers Only, 0mm
    LVDS_SPI_TX_MOSI, Signal Layers Only, 0mm
    MCP16502_HPM, Signal Layers Only, 0mm
    MISO_EXP_CONNECTOR, Signal Layers Only, 1.879mm
    MISO_EXP_PC104, Signal Layers Only, 0mm
    MOSI_EXP_CONNECTOR, Signal Layers Only, 1.8775mm
    MOSI_EXP_PC104, Signal Layers Only, 0mm
    NTC1-, Signal Layers Only, 0.9426mm
    NTC2-, Signal Layers Only, 0.971mm
    NTC3-, Signal Layers Only, 1.4963mm
    NTC4-, Signal Layers Only, 2.1874mm
    NTRST_PC25, Signal Layers Only, 12.5568mm
    NetC118_2, Signal Layers Only, 4.1415mm
    NetC142_2, Signal Layers Only, 3.0069mm
    NetC144_2, Signal Layers Only, 2.9089mm
    NetC148_2, Signal Layers Only, 0.971mm
    NetC151_2, Signal Layers Only, 2.6049mm
    NetC166_2, Signal Layers Only, 0mm
    NetC169_2, Signal Layers Only, 0mm
    NetC178_2, Signal Layers Only, 2.1988mm
    NetC179_2, Signal Layers Only, 1.6081mm
    NetC180_1, Signal Layers Only, 0mm
    NetC180_2, Signal Layers Only, 0mm
    NetC195_2, Signal Layers Only, 0mm
    NetC196_2, Signal Layers Only, 0mm
    NetC230_2, Signal Layers Only, 0mm
    NetC231_2, Signal Layers Only, 0mm
    NetC71_2, Signal Layers Only, 0mm
    NetC72_1, Signal Layers Only, 0mm
    NetC73_2, Signal Layers Only, 3.4477mm
    NetC75_2, Signal Layers Only, 23.6219mm
    NetD10_2, Signal Layers Only, 0mm
    NetD11_2, Signal Layers Only, 0mm
    NetD12_2, Signal Layers Only, 0mm
    NetD13_1, Signal Layers Only, 0mm
    NetD14_1, Signal Layers Only, 0mm
    NetD15_2, Signal Layers Only, 0mm
    NetD17_2, Signal Layers Only, 0mm
    NetD18_1, Signal Layers Only, 0mm
    NetD18_2, Signal Layers Only, 0mm
    NetD19_1, Signal Layers Only, 0mm
