# Package Migration - Certus-NX CSFBGA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 31-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 14-Mar-2025,,Updated the -40 and -28 pinouts information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFD2NX-40,,,,,,,,LFD2NX-28,,,,,,,,LFD2NX-17,,,,,,,,LFD2NX-9,,,,,,
Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED
F2,VSS,-,-,-,-,-,,F2,VSS,-,-,-,-,-,,F2,VSS,-,-,-,-,-,,F2,VSS,-,-,-,-,-
F3,VCCAUX,-,-,-,-,-,,F3,VCCAUX,-,-,-,-,-,,F3,VCCAUX,-,-,-,-,-,,F3,VCCAUX,-,-,-,-,-
F4,VSS,-,-,-,-,-,,F4,VSS,-,-,-,-,-,,F4,VSS,-,-,-,-,-,,F4,VSS,-,-,-,-,-
F5,PB58B,3,BDQ60,PCLKC3_1/ADC_CN6,Comp_OF_PB58A,TRUE,,F5,PB58B,3,BDQ60,PCLKC3_1/ADC_CN6,Comp_OF_PB58A,TRUE,,F5,PB24B,5,BDQ22,-,Comp_OF_PB24A,TRUE,,F5,PB24B,5,BDQ22,-,Comp_OF_PB24A,TRUE
F6,PB58A,3,BDQ60,PCLKT3_1/ADC_CP6,True_OF_PB58B,TRUE,,F6,PB58A,3,BDQ60,PCLKT3_1/ADC_CP6,True_OF_PB58B,TRUE,,F6,PB24A,5,BDQ22,-,True_OF_PB24B,TRUE,,F6,PB24A,5,BDQ22,-,True_OF_PB24B,TRUE
F7,PB12B,5,-,PCLKC5_3/VREF5_2,Comp_OF_PB12A,TRUE,,F7,PB12B,5,-,PCLKC5_3/VREF5_2,Comp_OF_PB12A,TRUE,,F7,PB30B,5,BDQ22,PCLKC5_3/VREF5_2,Comp_OF_PB30A,TRUE,,F7,PB30B,5,BDQ22,PCLKC5_3/VREF5_2,Comp_OF_PB30A,TRUE
F8,PB10A,5,-,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB10B,TRUE,,F8,PB10A,5,-,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB10B,TRUE,,F8,PB26A,5,BDQ22,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB26B,TRUE,,F8,PB26A,5,BDQ22,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB26B,TRUE
F9,PB10B,5,-,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB10A,TRUE,,F9,PB10B,5,-,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB10A,TRUE,,F9,PB26B,5,BDQ22,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB26A,TRUE,,F9,PB26B,5,BDQ22,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB26A,TRUE
G1,PB82B,3,BDQ76,ADC_CN15,Comp_OF_PB82A,TRUE,,G1,PB82B,3,BDQ76,ADC_CN15,Comp_OF_PB82A,TRUE,,G1,ADC_DN0,70,-,-,Comp_OF_ADC_DP0,FALSE,,G1,ADC_DN0,70,-,-,Comp_OF_ADC_DP0,FALSE
G10,PB8A,5,-,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB8B,TRUE,,G10,PB8A,5,-,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB8B,TRUE,,G10,PB20A,5,BDQ22,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB20B,TRUE,,G10,PB20A,5,BDQ22,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB20B,TRUE
